,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
228,68.592,465.525,673.971,26.460,25.361,28.901,128.444,68.379,342.602,144.516,237.373,97.357,170.741,264.559,231.119,252.715,437.453,135.141,119.389,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
229,68.579,465.086,673.236,26.431,25.329,28.882,128.287,68.418,342.602,144.516,237.373,96.456,170.741,264.559,231.119,253.245,437.453,135.141,121.465,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
230,68.583,465.329,673.756,26.427,25.358,28.902,128.271,68.407,342.602,144.516,237.373,97.357,170.741,264.559,231.119,252.715,437.453,135.141,120.427,35.533,31.267,23.463,53.747,98.468,41.670,32.114,2
231,68.656,465.491,674.276,26.438,25.351,28.915,128.294,68.363,341.790,143.546,237.373,96.456,170.741,264.559,231.119,252.715,437.453,135.141,121.465,35.094,31.267,23.463,53.747,97.296,41.670,32.114,2
232,68.440,464.558,672.626,26.383,25.297,28.843,128.226,68.355,341.790,143.546,237.373,96.456,170.741,264.559,231.119,252.715,437.453,135.141,120.427,35.533,31.267,23.463,53.747,97.296,41.670,32.114,2
233,68.518,465.057,673.395,26.405,25.337,28.886,128.030,68.461,341.790,143.546,237.373,97.357,170.741,264.559,231.119,252.715,437.453,135.141,119.389,35.533,31.267,23.463,53.747,97.296,41.670,32.114,2
234,68.552,465.594,673.800,26.405,25.316,28.896,127.985,68.476,341.790,143.546,237.373,96.456,170.741,264.559,231.119,252.715,437.453,134.684,120.427,35.094,31.267,23.463,53.747,98.468,41.670,32.114,2
235,68.538,464.826,672.940,26.364,25.301,28.858,127.851,68.457,341.790,143.546,237.373,96.456,170.741,264.559,231.119,252.715,437.453,134.684,121.465,35.094,31.267,23.463,53.747,97.296,41.670,32.114,2
236,68.588,465.646,673.683,26.384,25.324,28.880,127.842,68.433,341.790,143.546,236.423,96.456,170.741,265.288,231.119,252.715,437.453,135.141,121.465,35.533,31.267,23.463,53.747,97.296,41.670,32.114,2
237,68.609,465.812,674.263,26.378,25.315,28.895,127.760,68.451,341.790,143.546,236.423,96.456,170.741,264.559,231.119,252.715,437.453,135.141,121.465,35.094,31.267,23.463,53.747,97.296,41.670,32.114,2
