,mq2,mq3,mq8,mq135,mq136,mq137,mq131,mq9,scp1,scp2,scp3,scp4,scp5,scp6,scp7,scp8,scp9,scp10,scp11,scp12,scp13,scp14,scp15,scp16,scp17,scp18,target
200,88.118,577.998,702.047,33.912,32.942,35.659,147.371,83.396,739.598,264.785,392.140,148.740,248.863,338.898,285.083,323.709,540.851,167.556,144.305,44.306,38.302,28.317,68.975,123.085,54.298,37.781,4
201,88.131,578.598,702.696,33.940,32.958,35.694,147.404,83.418,738.787,264.785,392.140,148.740,248.863,339.627,285.628,324.238,540.851,167.556,146.381,44.306,38.302,28.317,68.975,123.085,54.298,37.781,4
202,88.236,578.630,702.766,33.937,32.994,35.710,147.467,83.384,738.787,264.785,392.140,148.740,248.863,339.627,285.628,324.238,540.851,167.556,146.381,44.306,37.520,28.317,68.975,123.085,54.298,37.781,4
203,88.538,577.159,701.593,33.869,32.872,35.612,147.298,83.353,738.787,264.785,393.090,148.740,248.863,339.627,285.628,324.238,540.851,167.556,146.381,44.745,37.520,28.317,68.975,123.085,54.298,37.781,4
204,88.156,577.933,702.214,33.902,32.930,35.673,147.324,83.400,737.975,264.785,393.090,148.740,248.863,339.627,285.628,324.238,540.851,167.556,145.343,44.306,38.302,28.317,68.975,123.085,54.298,37.781,4
205,88.160,577.901,702.644,33.919,32.946,35.703,147.443,83.328,737.163,264.785,393.090,148.740,248.863,339.627,285.628,324.238,540.851,167.556,146.381,44.306,38.302,28.317,68.975,123.085,54.298,37.781,4
206,88.043,577.498,702.047,33.907,32.913,35.656,147.300,83.288,737.975,264.785,394.039,148.740,248.863,339.627,285.628,324.238,540.851,167.556,145.343,44.745,38.302,28.317,68.975,123.085,54.298,37.781,4
207,88.061,577.933,702.892,33.926,32.933,35.668,147.380,83.268,737.975,264.785,394.039,148.740,248.863,339.627,285.628,324.238,540.851,167.556,146.381,44.745,38.302,28.317,68.975,123.085,54.298,37.781,4
208,88.241,578.249,702.826,33.916,32.937,35.682,147.467,83.241,737.163,264.785,394.039,148.740,248.863,339.627,285.628,324.238,540.851,167.556,145.343,44.745,38.302,28.317,68.975,123.085,54.298,37.781,4
209,87.880,581.681,700.863,33.827,32.843,35.579,147.218,83.192,737.975,264.785,394.989,148.740,248.863,339.627,285.628,324.238,540.851,167.556,146.381,44.745,38.302,28.317,68.975,123.085,54.298,37.781,4
210,88.086,576.912,701.610,33.869,32.913,35.641,147.222,83.259,737.975,264.785,394.989,148.740,248.863,339.627,285.628,324.768,540.851,167.556,146.381,44.745,37.520,28.317,68.975,123.085,54.298,37.781,4
211,88.061,576.771,702.277,33.889,32.905,35.648,147.261,83.166,737.163,265.755,395.938,148.740,248.863,340.355,285.628,324.768,540.851,167.556,146.381,44.745,38.302,28.317,68.975,123.085,54.298,37.781,4
